linear_x,linear_y,linear_z,angular_x,angular_y,angular_z,log_time,timestamp
0.0,0.0,0.0,0.0,0.0,0.0,1777986666.483961,1777986666.4836416
0.0,0.0,0.0,0.0,0.0,0.0,1777986666.5839696,1777986666.5836992
0.0,0.0,0.0,0.0,0.0,0.0,1777986666.6838038,1777986666.683497
0.0,0.0,0.0,0.0,0.0,0.0,1777986666.7839837,1777986666.783706
0.0,0.0,0.0,0.0,0.0,0.0,1777986666.8838236,1777986666.8836205
0.0,0.0,0.0,0.0,0.0,0.0,1777986666.9838817,1777986666.9836054
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.0839403,1777986667.0836983
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.1838048,1777986667.183551
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.2838755,1777986667.2835662
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.3838372,1777986667.3836174
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.4836798,1777986667.4835224
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.5839067,1777986667.5836425
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.683974,1777986667.6836812
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.7839375,1777986667.783683
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.883787,1777986667.8835506
0.0,0.0,0.0,0.0,0.0,0.0,1777986667.9837496,1777986667.9834754
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.0840044,1777986668.08372
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.183931,1777986668.1837237
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.2838905,1777986668.2836347
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.384202,1777986668.3834565
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.4837677,1777986668.4834843
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.5840497,1777986668.5837255
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.683831,1777986668.6836002
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.7839115,1777986668.7836285
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.883795,1777986668.883573
0.0,0.0,0.0,0.0,0.0,0.0,1777986668.9839132,1777986668.983666
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.0839734,1777986669.0837061
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.183821,1777986669.1835537
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.2839446,1777986669.283689
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.3838804,1777986669.3836396
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.484011,1777986669.4835784
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.5839634,1777986669.5836391
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.6838098,1777986669.683522
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.783791,1777986669.7835524
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.8839996,1777986669.883733
0.0,0.0,0.0,0.0,0.0,0.0,1777986669.9839237,1777986669.9836729
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.0839074,1777986670.0836155
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.1842077,1777986670.183955
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.283858,1777986670.283565
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.3838449,1777986670.383635
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.483917,1777986670.483637
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.583981,1777986670.58369
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.6840754,1777986670.683615
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.7838404,1777986670.7836328
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.8838162,1777986670.883566
0.0,0.0,0.0,0.0,0.0,0.0,1777986670.9841938,1777986670.9839246
0.0,0.0,0.0,0.0,0.0,0.0,1777986671.0838296,1777986671.0835252
0.0,0.0,0.0,0.0,0.0,0.0,1777986671.18401,1777986671.1836348
0.0,0.0,0.0,0.0,0.0,0.0,1777986671.2839136,1777986671.2836087
0.0,0.0,0.0,0.0,0.0,0.0,1777986676.6138828,1777986676.6136427
