desired_linear_vel_x,desired_angular_vel_z,log_time,timestamp
0.0,0.0,1777986666.4590569,1777986666.4586666
0.0,0.0,1777986666.5596652,1777986666.5593226
0.0,0.0,1777986666.6602929,1777986666.660003
0.0,0.0,1777986666.761066,1777986666.7607117
0.0,0.0,1777986666.8616333,1777986666.8612804
0.0,0.0,1777986666.9623508,1777986666.9619844
0.0,0.0,1777986667.0628772,1777986667.062559
0.0,0.0,1777986667.1633592,1777986667.1630297
0.0,0.0,1777986667.2639465,1777986667.263526
0.0,0.0,1777986667.364425,1777986667.3640912
0.0,0.0,1777986667.464891,1777986667.4645724
0.0,0.0,1777986667.5653465,1777986667.565068
0.0,0.0,1777986667.6658146,1777986667.6654973
0.0,0.0,1777986667.7661908,1777986667.7658873
0.0,0.0,1777986667.866733,1777986667.8663754
0.0,0.0,1777986667.967144,1777986667.9668
0.0,0.0,1777986668.0677664,1777986668.0673647
0.0,0.0,1777986668.1682415,1777986668.1679142
0.0,0.0,1777986668.268761,1777986668.2684076
0.0,0.0,1777986668.3690062,1777986668.368775
0.0,0.0,1777986668.4696453,1777986668.4693215
0.0,0.0,1777986668.5702724,1777986668.5699193
0.0,0.0,1777986668.6707673,1777986668.6704366
0.0,0.0,1777986668.7713203,1777986668.7710283
0.0,0.0,1777986668.871787,1777986668.8714988
0.0,0.0,1777986668.9722729,1777986668.9719753
0.0,0.0,1777986669.072907,1777986669.07254
0.0,0.0,1777986669.1732397,1777986669.1730628
0.0,0.0,1777986669.2738845,1777986669.273548
0.0,0.0,1777986669.374401,1777986669.374059
0.0,0.0,1777986669.4748683,1777986669.4745312
0.0,0.0,1777986669.5752413,1777986669.5749915
0.0,0.0,1777986669.675813,1777986669.6754854
0.0,0.0,1777986669.7763393,1777986669.7760403
0.0,0.0,1777986669.8768842,1777986669.8765185
0.0,0.0,1777986669.9775655,1777986669.9771237
0.0,0.0,1777986670.078029,1777986670.0777876
0.0,0.0,1777986670.17896,1777986670.1782575
0.0,0.0,1777986670.279568,1777986670.2791975
0.0,0.0,1777986670.3801918,1777986670.3797994
0.0,0.0,1777986670.4807065,1777986670.480368
0.0,0.0,1777986670.5812376,1777986670.5808792
0.0,0.0,1777986670.6817682,1777986670.6814103
0.0,0.0,1777986670.7822506,1777986670.7819488
0.0,0.0,1777986670.8827767,1777986670.8824377
0.0,0.0,1777986670.9831493,1777986670.9828782
0.0,0.0,1777986671.0838022,1777986671.0834212
