wheel_left_joint_position,wheel_left_joint_velocity,wheel_right_joint_position,wheel_right_joint_velocity,log_time,timestamp
0.0,0.0,0.0,0.0,1777986666.9336653,1777986666.8110535
0.0,0.0,0.0,0.0,1777986666.93385,1777986666.815512
0.0,0.0,0.0,0.0,1777986666.9351392,1777986666.821376
0.0,0.0,0.0,0.0,1777986666.9453657,1777986666.834152
0.0,0.0,0.0,0.0,1777986666.9491246,1777986666.8387377
0.0,0.0,0.0,0.0,1777986666.9606974,1777986666.8575923
0.0,0.0,0.0,0.0,1777986666.97132,1777986666.8645222
0.0,0.0,0.0,0.0,1777986666.9749327,1777986666.8760164
0.0,0.0,0.0,0.0,1777986666.9977164,1777986666.8825183
0.0,0.0,0.0,0.0,1777986666.9996092,1777986666.8964984
0.0,0.0,0.0,0.0,1777986667.0136943,1777986666.9021242
0.0,0.0,0.0,0.0,1777986667.018225,1777986666.9176297
0.0,0.0,0.0,0.0,1777986667.0337286,1777986666.9231398
0.0,0.0,0.0,0.0,1777986667.0384076,1777986666.9392297
0.0,0.0,0.0,0.0,1777986667.054435,1777986666.9438694
0.0,0.0,0.0,0.0,1777986667.0632012,1777986666.9626536
0.0,0.0,0.0,0.0,1777986667.075906,1777986666.968424
0.0,0.0,0.0,0.0,1777986667.0817852,1777986666.9820495
0.0,0.0,0.0,0.0,1777986667.0958455,1777986666.9875839
0.0,0.0,0.0,0.0,1777986667.1015654,1777986667.001341
0.0,0.0,0.0,0.0,1777986667.1185005,1777986667.0068755
0.0,0.0,0.0,0.0,1777986667.1224954,1777986667.0226233
0.0,0.0,0.0,0.0,1777986667.139811,1777986667.0273573
-0.001533981,0.0,0.0,0.0,1777986667.1470351,1777986667.0440803
-0.001533981,0.0,0.0,0.0,1777986667.1676269,1777986667.048443
0.0,0.0,0.0,0.0,1777986667.1700945,1777986667.0675359
0.0,0.0,0.0,0.0,1777986667.1802945,1777986667.0733626
0.0,0.0,0.0,0.0,1777986667.189189,1777986667.0863175
0.0,0.0,0.0,0.0,1777986667.2165608,1777986667.1062045
-0.001533981,0.0,0.0,0.0,1777986667.2210503,1777986667.1115322
0.0,0.0,0.0,0.0,1777986667.2270534,1777986667.1272216
0.0,0.0,0.0,0.0,1777986667.243585,1777986667.1327102
0.0,0.0,0.0,0.0,1777986667.2497556,1777986667.1486201
0.0,0.0,0.0,0.0,1777986667.267366,1777986667.1676118
0.0,0.0,0.0,0.0,1777986667.2724545,1777986667.1730773
0.0,0.0,0.0,0.0,1777986667.2893476,1777986667.1777327
0.0,0.0,0.0,0.0,1777986667.3046675,1777986667.1929932
0.0,0.0,0.0,0.0,1777986667.3101273,1777986667.1995268
0.0,0.0,0.0,0.0,1777986667.3159142,1777986667.2122445
0.0,0.0,0.0,0.0,1777986667.32747,1777986667.2176206
0.0,0.0,0.0,0.0,1777986667.3321729,1777986667.2321355
0.0,0.0,0.0,0.0,1777986667.3476694,1777986667.237838
0.0,0.0,0.0,0.0,1777986667.3539934,1777986667.2535174
0.0,0.0,0.0,0.0,1777986667.373676,1777986667.272603
-0.001533981,0.0,0.0,0.0,1777986667.3796449,1777986667.278235
-0.001533981,0.0,0.0,0.0,1777986667.395031,1777986667.2825563
0.0,0.0,0.0,0.0,1777986667.4016297,1777986667.2976518
0.0,0.0,0.0,0.0,1777986667.4173634,1777986667.303874
0.0,0.0,0.001533981,0.0,1777986667.4199715,1777986667.316607
0.0,0.0,0.001533981,0.0,1777986667.4335535,1777986667.3212066
0.0,0.0,0.0,0.0,1777986667.4370508,1777986667.3391073
0.0,0.0,0.0,0.0,1777986667.4555187,1777986667.3425906
0.0,0.0,0.0,0.0,1777986667.4623868,1777986667.3615491
0.0,0.0,0.0,0.0,1777986667.4742675,1777986667.3672075
0.0,0.0,0.0,0.0,1777986667.4794018,1777986667.379885
0.0,0.0,0.0,0.0,1777986667.5085778,1777986667.386412
0.0,0.0,0.0,0.0,1777986667.5085912,1777986667.4002333
0.0,0.0,0.0,0.0,1777986667.5216174,1777986667.4065464
0.0,0.0,0.0,0.0,1777986667.5224297,1777986667.4215286
0.0,0.0,0.0,0.0,1777986667.5367198,1777986667.4281955
0.0,0.0,0.0,0.0,1777986667.5445125,1777986667.4426963
0.0,0.0,0.0,0.0,1777986667.558267,1777986667.449459
0.0,0.0,0.0,0.0,1777986667.5656755,1777986667.4662898
0.0,0.0,0.0,0.0,1777986667.5795143,1777986667.4718006
0.0,0.0,0.0,0.0,1777986667.5858216,1777986667.4845665
0.0,0.0,0.0,0.0,1777986667.6136112,1777986667.50468
0.0,0.0,0.0,0.0,1777986667.622061,1777986667.5090199
0.0,0.0,0.0,0.0,1777986667.6259723,1777986667.5135372
0.0,0.0,0.0,0.0,1777986667.6288147,1777986667.5263581
0.0,0.0,0.0,0.0,1777986667.6425595,1777986667.5332675
0.0,0.0,0.0,0.0,1777986667.648626,1777986667.5481014
0.0,0.0,0.0,0.0,1777986667.6646338,1777986667.5534484
0.0,0.0,0.0,0.0,1777986667.671121,1777986667.5712886
0.0,0.0,0.0,0.0,1777986667.6850355,1777986667.5767741
0.0,0.0,0.0,0.0,1777986667.694284,1777986667.5918257
0.0,0.0,0.0,0.0,1777986667.7088408,1777986667.5975044
0.0,0.0,0.0,0.0,1777986667.7137053,1777986667.6108496
0.0,0.0,0.0,0.0,1777986667.7269287,1777986667.616513
0.0,0.0,0.0,0.0,1777986667.732678,1777986667.6312966
0.0,0.0,0.0,0.0,1777986667.747896,1777986667.6378486
0.0,0.0,0.0,0.0,1777986667.7558212,1777986667.653004
0.0,0.0,0.0,0.0,1777986667.7726197,1777986667.6717136
0.0,0.0,0.0,0.0,1777986667.7780282,1777986667.676209
0.0,0.0,0.0,0.0,1777986667.789196,1777986667.682635
0.0,0.0,0.0,0.0,1777986667.8089907,1777986667.6966803
0.0,0.0,0.0,0.0,1777986667.8142538,1777986667.702188
0.0,0.0,0.0,0.0,1777986667.8237565,1777986667.7156875
0.0,0.0,0.0,0.0,1777986667.8317237,1777986667.7213995
0.0,0.0,0.0,0.0,1777986667.8391888,1777986667.736017
0.0,0.0,0.0,0.0,1777986667.8518367,1777986667.7427483
-0.001533981,0.0,0.0,0.0,1777986667.863325,1777986667.7616968
-0.001533981,0.0,0.0,0.0,1777986667.873133,1777986667.7652705
0.0,0.0,0.0,0.0,1777986667.8787355,1777986667.7792492
0.0,0.0,0.0,0.0,1777986667.8978245,1777986667.7978704
0.0,0.0,0.0,0.0,1777986667.904621,1777986667.8035674
0.0,0.0,0.0,0.0,1777986667.9209948,1777986667.8083806
0.0,0.0,0.0,0.0,1777986667.925036,1777986667.8207068
0.0,0.0,0.0,0.0,1777986667.937005,1777986667.8262608
0.0,0.0,0.0,0.0,1777986667.9438837,1777986667.8424938
0.0,0.0,0.0,0.0,1777986667.9582262,1777986667.8475974
0.0,0.0,0.0,0.0,1777986667.967184,1777986667.866607
0.0,0.0,0.0,0.0,1777986667.9789326,1777986667.8713434
0.0,0.0,0.0,0.0,1777986667.985701,1777986667.8839152
0.0,0.0,0.0,0.0,1777986667.9992754,1777986667.8895597
0.0,0.0,0.0,0.0,1777986668.0117476,1777986667.905074
0.0,0.0,0.0,0.0,1777986668.0281167,1777986667.9241922
0.0,0.0,0.0,0.0,1777986668.0325043,1777986667.9286115
0.0,0.0,0.0,0.0,1777986668.0425615,1777986667.9330633
0.0,0.0,0.0,0.0,1777986668.0514827,1777986667.9469998
0.0,0.0,0.0,0.0,1777986668.0614133,1777986667.9523351
0.0,0.0,0.0,0.0,1777986668.0709062,1777986667.9714065
0.0,0.0,0.0,0.0,1777986668.0842712,1777986667.975834
0.0,0.0,0.0,0.0,1777986668.0886185,1777986667.9887092
0.0,0.0,0.0,0.0,1777986668.11357,1777986668.0085945
0.0,0.0,0.0,0.0,1777986668.1153488,1777986668.0124326
0.0,0.0,0.0,0.0,1777986668.1307373,1777986668.017654
0.0,0.0,0.0,0.0,1777986668.1343963,1777986668.0312793
0.0,0.0,0.0,0.0,1777986668.1463697,1777986668.036977
0.0,0.0,0.0,0.0,1777986668.1513286,1777986668.051554
0.0,0.0,0.0,0.0,1777986668.1727946,1777986668.069878
0.0,0.0,0.0,0.0,1777986668.1751478,1777986668.075384
0.0,0.0,0.0,0.0,1777986668.1876438,1777986668.0806422
